"","province","arvincome","Cook1kinds","Cook1effi","Cook1freq","Cook1time","Cook2kinds","Cook2effi","Cook2freq","Cook2time","Cook3kinds","Cook3effi","Cook3freq","Cook3time","Cook4kinds","Cook4effi","Cook4freq","Cook4time","totaltime1","totaltime2","totaltime3","totaltime4"
"99",12,548,"tianranqi",NA,60,0.375,"dianfanguo",600,60,0.375,"dianshuihu",1250,90,0.375,"weibolu",850,12,0.375,22.5,22.5,33.75,4.5
"100",13,590,"zaoqi",NA,90,0.375,"dianfanguo",600,90,0.25,"gaoyaguo",NA,60,0.375,"dianshuihu",NA,90,0.25,33.75,22.5,22.5,22.5
"101",13,602,"yehuaqi",NA,90,0.375,"dianfanguo",400,90,0.375,"gaoyaguo",NA,30,0.375,"weibolu",1250,8,0.375,33.75,33.75,11.25,3
"102",13,617,"meiqi",NA,60,0.375,"dianfanguo",NA,60,0.375,"gaoyaguo",NA,20,0.375,"dianshuihu",NA,60,0.25,22.5,22.5,7.5,15
"103",28,547,"yehuaqi",NA,90,0.625,"diancilu",1500,12,1.5,"dianfanguo",1500,90,0.625,"gaoyaguo",NA,12,1.5,56.25,18,56.25,18
"104",28,561,"xinchai",NA,90,0.375,"dianfanguo",400,60,0.375,"diancilu",400,60,0.375,"dianshuihu",300,60,0.25,33.75,22.5,22.5,15
"105",28,525,"xinchai",NA,60,1.5,"dianfanguo",850,60,0.625,"gaoyaguo",NA,8,0.375,"diancilu",850,8,1.5,90,37.5,3,12
"106",28,575,"xinchai",NA,90,0.875,"dianfanguo",400,60,0.375,"yehuaqi",NA,12,0.875,"fengwomei",NA,12,3,78.75,22.5,10.5,36
"107",2,575,"diancilu",1250,90,0.625,"dianfanguo",850,90,0.625,"yehuaqi",NA,8,0.875,"xinchai",NA,4,0.875,56.25,56.25,7,3.5
"108",2,547,"xinchai",NA,60,0.625,"dianfanguo",850,30,0.625,"diancilu",1500,90,0.625,"gaoyaguo",1250,20,0.875,37.5,18.75,56.25,17.5
"109",2,525,"dianfanguo",1250,90,0.625,"yehuaqi",NA,90,1.5,"diancilu",1500,90,0.25,"weibolu",1250,4,0.25,56.25,135,22.5,1
"110",2,575,"dianfanguo",850,90,0.375,"xinchai",NA,90,0.875,"gaoyaguo",1500,12,0.25,"diancilu",1250,8,0.25,33.75,78.75,3,2
"111",2,525,"diancilu",NA,90,0.875,"dianfanguo",NA,90,0.375,"dianshuihu",NA,60,0.375,"weibolu",NA,12,0.375,78.75,33.75,22.5,4.5
"112",29,575,"diancilu",1500,60,0.625,"xinchai",NA,60,0.625,"dianfanguo",NA,30,0.375,"gaoyaguo",NA,4,0.25,37.5,37.5,11.25,1
"113",29,602,"xinchai",NA,90,0.875,"diancilu",NA,20,0.375,"dianfanguo",NA,12,0.625,"dianshuihu",300,20,0.25,78.75,7.5,7.5,5
"114",29,547,"diancilu",NA,60,0.375,"dianshuihu",NA,20,0.25,"dianfanguo",NA,12,0.625,"gaoyaguo",NA,8,0.875,22.5,5,7.5,7
"115",23,547,"xinchai",NA,60,0.625,"zaoqi",NA,20,0.875,"dianfanguo",850,20,0.375,NA,1250,20,0.875,37.5,17.5,7.5,17.5
"116",23,547,"xinchai",NA,60,1.5,"dianshuihu",1500,8,0.25,"dianfanguo",NA,4,0.375,"kaoxiang",1250,8,0.625,90,2,1.5,5
"117",23,575,"jiegan",NA,60,0.875,"dianshuihu",1500,8,0.25,"dianfanguo",400,8,0.375,"jiegan",NA,4,0.875,52.5,2,3,3.5
"118",23,602,"xinchai",NA,60,1.5,"dianfanguo",600,4,0.375,"gaoyaguo",850,4,0.375,"diancilu",1500,4,0.25,90,1.5,1.5,1
"119",23,541,"xinchai",NA,60,0.625,"taiyangnengzao",NA,30,1.5,"dianfanguo",600,12,0.625,"diancilu",1250,12,0.375,37.5,45,7.5,4.5
"120",23,547,"diancilu",1250,60,0.625,"dianshuihu",1250,90,0.375,"dianfanguo",1250,60,0.625,"yehuaqi",NA,30,0.375,37.5,33.75,37.5,11.25
"121",30,522,"diancilu",1500,90,1.5,"weibolu",850,20,0.25,"dianshuihu",850,90,0.25,"dianfanguo",1250,20,0.875,135,5,22.5,17.5
"122",8,547,"jiegan",NA,4,0.375,"dianfanguo",850,60,0.375,"dianshuihu",400,8,0.375,"diancilu",850,60,0.375,1.5,22.5,3,22.5
"123",8,575,"dianfanguo",600,30,0.375,"dianshuihu",850,30,0.25,"xinchai",NA,60,0.375,"fengwomei",NA,30,0.375,11.25,7.5,22.5,11.25
"124",8,515,"fengwomei",NA,8,0.875,"dianfanguo",850,60,0.625,"dianshuihu",1500,90,0.375,"diancilu",850,60,0.875,7,37.5,33.75,52.5
"125",8,532,"yehuaqi",NA,60,0.625,"dianfanguo",850,30,0.375,"dianshuihu",1250,90,0.25,NA,850,60,0.375,37.5,11.25,22.5,22.5
