"","kinds","efficiency","frequency","time","totaltime"
"307","diancilu",1250,12,0.625,7.5
"308","diancilu",600,12,0.625,7.5
"309","dianfanguo",NA,90,0.375,33.75
"310","diancilu",1500,12,0.875,10.5
"311","dianfanguo",1250,60,0.375,22.5
"312","dianfanguo",1250,60,0.625,37.5
"313","dianfanguo",NA,30,0.375,11.25
"314","dianfanguo",600,20,0.625,12.5
"315","diancilu",850,90,0.625,56.25
"316","dianshuihu",NA,90,0.25,22.5
"317","dianfanguo",850,90,0.375,33.75
"318","diancilu",600,90,0.625,56.25
"319","dianfanguo",NA,60,0.625,37.5
"320","dianfanguo",300,90,1.5,135
"321","dianfanguo",850,60,0.625,37.5
"322","dianfanguo",600,30,0.375,11.25
"323","diancilu",600,60,0.375,22.5
"324","diancilu",850,60,0.25,15
"325","diancilu",1500,90,0.625,56.25
"326","diancilu",1500,90,0.25,22.5
"327","dianfanguo",400,12,0.375,4.5
"328","diancilu",850,90,0.375,33.75
"329","diancilu",1500,90,0.875,78.75
"330","dianfanguo",600,12,0.375,4.5
"331","dianfanguo",850,90,0.375,33.75
"332","diancilu",300,20,0.375,7.5
"333","dianfanguo",300,30,0.625,18.75
"334","diancilu",600,90,0.625,56.25
"335","diancilu",850,90,0.625,56.25
"336","dianfanguo",600,90,0.625,56.25
"337","diancilu",1500,90,3,270
"338","dianfanguo",850,90,0.375,33.75
"339","diancilu",1500,90,0.375,33.75
"340","diancilu",1500,90,0.625,56.25
"341","diancilu",400,60,0.375,22.5
"342","dianshuihu",1500,60,0.25,15
"343","diancilu",1500,60,0.625,37.5
"344","dianfanguo",1250,60,0.375,22.5
"345","dianfanguo",600,90,0.375,33.75
"346","dianfanguo",600,60,0.375,22.5
"347","diancilu",1500,60,0.25,15
"348",NA,NA,90,0.375,33.75
"349","diancilu",1500,90,0.625,56.25
"350","diancilu",1500,90,0.375,33.75
"351","gaoyaguo",NA,60,0.625,37.5
"352","diancilu",1500,90,0.375,33.75
"353","diancilu",1250,90,0.875,78.75
"354","weibolu",1500,60,0.375,22.5
"355","dianfanguo",1500,90,0.375,33.75
