"","province","arvincome","Cook1kinds","Cook1effi","Cook1freq","Cook1time","Cook2kinds","Cook2effi","Cook2freq","Cook2time","Cook3kinds","Cook3effi","Cook3freq","Cook3time","Cook4kinds","Cook4effi","Cook4freq","Cook4time"
"119",31,525,"yehuaqi",NA,90,0.375,"dianfanguo",NA,60,0.375,"diancilu",NA,12,0.375,NA,NA,NA,NA
"120",31,575,"diancilu",1500,30,0.625,"dianfanguo",850,60,0.375,"xinchai",NA,60,0.625,"dianshuihu",1250,30,0.25
"121",31,547,"xinchai",NA,90,0.625,"yehuaqi",NA,12,0.625,"dianfanguo",NA,12,0.625,"dianshuihu",850,12,0.25
"122",31,525,"tianranqi",NA,60,0.625,"dianfanguo",1250,12,0.625,"dianshuihu",850,20,0.375,"diancilu",1500,4,1.5
"123",31,506,"dianshuihu",1500,60,0.25,"xinchai",NA,60,0.625,"dianfanguo",1500,60,0.625,NA,NA,NA,NA
"124",31,547,"dianfanguo",1250,30,0.625,NA,1500,90,0.25,NA,NA,NA,NA,NA,NA,NA,NA
"125",31,575,"dianfanguo",600,60,0.375,"diancilu",NA,60,0.625,"taiyangnengzao",NA,8,0.875,"dianshuihu",400,60,0.25
"126",31,526,"yehuaqi",NA,60,0.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127",31,612,"yehuaqi",NA,90,0.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128",31,506,"jiegan",NA,60,0.625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129",31,634,"diancilu",NA,90,0.375,"dianfanguo",NA,30,0.375,"dianshuihu",NA,30,0.25,NA,NA,NA,NA
"130",31,548,"dianfanguo",1250,60,0.625,"diancilu",1500,90,0.625,NA,NA,NA,NA,NA,NA,NA,NA
"131",31,525,"jiegan",NA,90,0.625,"dianfanguo",850,30,0.375,NA,NA,NA,NA,NA,NA,NA,NA
"132",1,526,"tianranqi",NA,60,0.875,"dianfanguo",850,30,0.625,"weibolu",1250,30,0.25,NA,NA,NA,NA
"133",1,562,"tianranqi",NA,60,0.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134",1,545,"tianranqi",NA,60,0.375,"weibolu",400,60,0.25,"dianshuihu",400,60,0.25,"dianfanguo",400,30,0.25
"135",1,638,"tianranqi",NA,60,0.625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136",1,525,"tianranqi",NA,90,0.625,"dianfanguo",600,60,0.625,"dianshuihu",1500,90,0.25,"weibolu",1500,30,0.25
"137",1,526,"tianranqi",NA,90,0.375,"tianranqi",NA,60,0.375,NA,NA,NA,NA,NA,NA,NA,NA
"138",1,526,"tianranqi",NA,90,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139",1,576,"tianranqi",NA,60,0.625,"weibolu",600,60,0.25,"dianfanguo",600,30,0.625,NA,NA,NA,NA
"140",1,526,"meiqi",NA,12,0.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141",1,567,"tianranqi",NA,30,0.625,"weibolu",850,30,0.25,NA,NA,NA,NA,NA,NA,NA,NA
"142",1,629,"dianfanguo",NA,20,0.625,"meiqi",NA,12,0.875,NA,NA,NA,NA,NA,NA,NA,NA
"143",1,542,"tianranqi",NA,90,0.875,"diancilu",1250,12,0.375,NA,NA,NA,NA,NA,NA,NA,NA
"144",1,567,"tianranqi",NA,90,0.875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145",1,548,"tianranqi",NA,30,0.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146",1,603,"meiqi",NA,20,0.625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147",1,603,"tianranqi",NA,60,0.875,"tianranqi",NA,60,0.875,NA,NA,NA,NA,NA,NA,NA,NA
"148",1,526,"meiqi",NA,30,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149",1,635,"tianranqi",NA,90,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150",1,594,"tianranqi",NA,90,0.375,"dianfanguo",1500,60,0.375,"dianshuihu",1500,60,0.25,"weibolu",1500,20,0.25
"151",1,548,"tianranqi",NA,60,1.5,"dianfanguo",850,30,0.625,"weibolu",850,30,0.25,"dianshuihu",850,60,1.5
"152",1,526,"tianranqi",NA,30,0.625,"dianfanguo",600,30,0.375,"dianshuihu",600,60,0.375,NA,NA,NA,NA
