"","kinds","efficiency","frequency","time"
"5196","diancilu","1500","90","0.625"
"5206","dianfanguo",NA,"60","0.625"
"5215","dianfanguo","850","60","0.875"
"5265","dianfanguo","600","60","0.375"
"5274","diancilu","600","90","0.875"
"5307","diancilu","1250","90","0.375"
"5314","diancilu","1250","90","0.875"
"5345","dianfanguo","1250","60","0.875"
"5360","diancilu","1500","90","0.625"
"5405","diancilu","1250","60","0.375"
"5412","dianfanguo","850","90","0.625"
"5416","dianfanguo","850","30","0.625"
"5422","dianfanguo","1250","90","0.875"
"5447","diancilu","1500","90","0.625"
"5486","diancilu","1500","90","0.625"
"5491","diancilu","300","90","0.875"
"5507","diancilu","1500","12","0.875"
"5513","dianfanguo",NA,"60","0.625"
"5515","diancilu","1500","60","0.875"
"5523","dianfanguo","850","90","0.625"
"5545","diancilu","1250","90","0.625"
"5565","diancilu","1500","90","0.875"
"5587","diancilu","1500","90","1.5"
"5597","diancilu","1500","90","0.625"
"5598","diancilu","1500","90","0.875"
"5604","diancilu","1250","90","0.625"
"5625","diancilu","600","90","0.625"
"5631","diancilu","1500","90","0.625"
"5633","diancilu","1250","90","0.375"
"5636","diancilu","850","90","0.625"
"5648","diancilu","600","90","0.875"
"5665","dianshuihu","1500","30","0.25"
"5682","diancilu","1250","90","0.625"
"5698","gaoyaguo","600","30","0.625"
"5707","diancilu","1500","90","0.375"
"5709","diancilu","1500","90","0.25"
"5710","diancilu","1500","90","0.875"
"5725","diancilu","1250","90","0.875"
"5730","dianshuihu",NA,"90","0.375"
"5742","diancilu","1250","90","1.5"
"5744","dianfanguo","300","90","0.875"
"5758","diancilu","1250","60","0.625"
"5765","diancilu","850","90","0.625"
"5766","diancilu","1500","60","0.625"
"5773","dianfanguo","300","90","0.875"
"5775","dianfanguo","1250","30","0.625"
"5786","dianfanguo","1500","60","1.5"
"5823","diancilu","1250","60","0.875"
"5842","diancilu","1500","60","0.625"
"5856","diancilu","1250","90","0.875"
"5897","diancilu","850","90","0.625"
"5898","diancilu","1250","30","0.375"
"5917","diancilu","1250","60","0.625"
"5970","dianshuihu","300","90","0.375"
"5988","diancilu","1500","90","0.375"
"6005","diancilu","400","90","0.625"
"6010","diancilu","1500","90","0.875"
"6017","diancilu","1250","90","0.375"
"6018","diancilu",NA,"90","0.875"
"6022","diancilu","1500","90","1.5"
"6056","diancilu","850","90","0.625"
"6064","diancilu","1250","90","0.625"
"6085","diancilu","1500","60","0.625"
"6096","dianfanguo","1250","90","0.625"
"6165","gaoyaguo",NA,"90","0.375"
"6167","diancilu","850","90","0.375"
"6184","diancilu","1250","90","0.375"
"6197","diancilu","1250","90","3"
"6219","diancilu","600","60","0.375"
